Block Type;96well;;;
Chemistry;SYBR_GREEN;;;
Experiment File Name;D:\Documents and Settings\INSTR-ADMIN\My Documents\LukaszL_qPCR\miRNA_2-1.eds;;;
Experiment Run End Time;2017-06-16 11:25:46 AM CEST;;;
Instrument Type;steponeplus;;;
Passive Reference;;;;
;;;;
Well;Cycle;Target Name;Rn;?Rn
A1;1;Target 1;19522,45508;14,88459778
A1;2;Target 1;19366,51172;23,06160927
A1;3;Target 1;19482,29883;108,5413513
A1;4;Target 1;19557,67578;27,239851
A1;5;Target 1;19765,73438;125,3328781
A1;6;Target 1;19897,96484;-12,88268948
A1;7;Target 1;20064,92969;-55,15098953
A1;8;Target 1;20242,39063;-50,42124557
A1;9;Target 1;20326,76563;-22,80282784
A1;10;Target 1;20464,74414;-0,448081136
A1;11;Target 1;20613,93555;-55,48005295
A1;12;Target 1;20741,17773;-35,87726212
A1;13;Target 1;20912,51367;-17,93071938
A1;14;Target 1;21042,23438;-125,4763641
A1;15;Target 1;21280,48828;-84,36966705
A1;16;Target 1;21382,22266;-91,62038422
A1;17;Target 1;21483,08984;51,70506287
A1;18;Target 1;21696,40234;70,53246307
A1;19;Target 1;21667,68359;-41,67724609
A1;20;Target 1;21812,37109;5,978282452
A1;21;Target 1;21867,07227;204,8076324
A1;22;Target 1;21965,95313;73,96902466
A1;23;Target 1;22113,32422;56,16751862
A1;24;Target 1;22170,60352;50,66093826
A1;25;Target 1;22284,61914;127,1211548
A1;26;Target 1;23090,88281;150,0872192
A1;27;Target 1;23009,52344;110,3560333
A1;28;Target 1;23164,88281;537,2283325
A1;29;Target 1;23203,80078;1115,700317
A1;30;Target 1;23236,99805;2211,799072
A1;31;Target 1;23395,24219;4516,384277
A1;32;Target 1;23340,95703;8422,438477
A1;33;Target 1;23505,08594;16218,32422
A1;34;Target 1;23606,125;30023,62109
A1;35;Target 1;23682,64063;53882,41016
A1;36;Target 1;23700,27539;84751,42969
A1;37;Target 1;23699,02734;118262,9063
A1;38;Target 1;23805,54102;149743,1563
A1;39;Target 1;23947,60156;179543,5625
A1;40;Target 1;23993,01172;203262,2656
A2;1;Target 1;27523,91211;61,22766113
A2;2;Target 1;27580,80664;-87,79934692
A2;3;Target 1;27828,71484;-45,81268692
A2;4;Target 1;28105,33594;24,88686752
A2;5;Target 1;28276,85742;-9,513188362
A2;6;Target 1;28569,11914;76,82698822
A2;7;Target 1;28702,61523;4,401544094
A2;8;Target 1;28853,3457;-50,78952789
A2;9;Target 1;28828,72656;-281,3302002
A2;10;Target 1;28959,87305;-356,1052551
A2;11;Target 1;28984,61523;-537,2846069
A2;12;Target 1;29032,05078;-695,7706299
A2;13;Target 1;29212,11133;-721,6315918
A2;14;Target 1;29408,61523;-731,0492554
A2;15;Target 1;29590,36133;-755,2246704
A2;16;Target 1;29753,14844;-798,3591309
A2;17;Target 1;29777,81445;-979,614624
A2;18;Target 1;29852,26953;-1111,081055
A2;19;Target 1;29871,21094;-1298,061279
A2;20;Target 1;30057,81641;-1317,377319
A2;21;Target 1;30155,70508;-1425,410156
A2;22;Target 1;30337,47266;-1449,564087
A2;23;Target 1;30601,74414;-1391,214233
A2;24;Target 1;30962,16211;-1236,717773
A2;25;Target 1;31276,23828;-1128,56311
A2;26;Target 1;31896,35156;-714,3713989
A2;27;Target 1;33129,27344;312,6289368
A2;28;Target 1;35172,24219;2149,67627
A2;29;Target 1;39526,19922;6297,711426
A2;30;Target 1;47494,13281;14059,72363
A2;31;Target 1;62437,64453;28797,31445
A2;32;Target 1;89082,03906;55235,78516
A2;33;Target 1;128585,8594;94533,6875
A2;34;Target 1;171812,1563;137554,0625
A2;35;Target 1;212538,2656;178074,25
A2;36;Target 1;247810,9688;213141,0313
A2;37;Target 1;278453,0625;243577,2031
A2;38;Target 1;302288,7813;267207
A2;39;Target 1;321381,1875;286093,5
A2;40;Target 1;336299,8438;300806,2188
A3;1;Target 1;23425,57031;-177,4290314
A3;2;Target 1;23583,39453;-19,60481834
A3;3;Target 1;23800,0332;197,0338593
A3;4;Target 1;23769,81641;166,8170624
A3;5;Target 1;23933,44922;330,4498596
A3;6;Target 1;24144,22266;541,2233276
A3;7;Target 1;24160,38281;557,3834839
A3;8;Target 1;24458,36328;855,3639526
A3;9;Target 1;24588,37891;985,3795776
A3;10;Target 1;24621,75781;1018,758484
A3;11;Target 1;24762,33984;1159,340454
A3;12;Target 1;24806,53125;1203,53186
A3;13;Target 1;24939,76172;1336,762329
A3;14;Target 1;25028,25;1425,25061
A3;15;Target 1;25141,57422;1538,574829
A3;16;Target 1;25270,99219;1667,992798
A3;17;Target 1;25302,69727;1699,697876
A3;18;Target 1;25420,70313;1817,703735
A3;19;Target 1;25594,14453;1991,145142
A3;20;Target 1;25739,97852;2136,979248
A3;21;Target 1;25869,42188;2266,422607
A3;22;Target 1;25954,80273;2351,803467
A3;23;Target 1;26008,81836;2405,819092
A3;24;Target 1;26130,0332;2527,033936
A3;25;Target 1;26225,71875;2622,719482
A3;26;Target 1;26433,58203;2830,582764
A3;27;Target 1;26686,23438;3083,235107
A3;28;Target 1;27081,28906;3478,289795
A3;29;Target 1;27750,125;4147,125488
A3;30;Target 1;28998,49805;5395,498535
A3;31;Target 1;31312,57813;7709,578613
A3;32;Target 1;35590,33984;11987,34082
A3;33;Target 1;43522,76953;19919,76953
A3;34;Target 1;57172,46875;33569,46875
A3;35;Target 1;78339;54736
A3;36;Target 1;105050,0391;81447,03906
A3;37;Target 1;134638,4375;111035,4375
A3;38;Target 1;162039,1094;138436,1094
A3;39;Target 1;187565,2813;163962,2813
A3;40;Target 1;209987,8125;186384,8125
A4;1;Target 1;22971,27734;-771,6985474
A4;2;Target 1;23379,46875;-444,1698608
A4;3;Target 1;23599,21875;-305,08255
A4;4;Target 1;23836,34375;-148,6202698
A4;5;Target 1;23921,70703;-143,9196777
A4;6;Target 1;24327,06641;180,7769928
A4;7;Target 1;24334,40625;107,4541321
A4;8;Target 1;24448,04297;140,4281464
A4;9;Target 1;24562,10547;173,8279572
A4;10;Target 1;24578,01172;109,0715027
A4;11;Target 1;24592,55664;42,95372009
A4;12;Target 1;24525,29297;-104,9726563
A4;13;Target 1;25008,89453;297,966217
A4;14;Target 1;24736,25391;-55,33712006
A4;15;Target 1;24936,01367;63,75994492
A4;16;Target 1;24877,11719;-75,79924011
A4;17;Target 1;25077,07422;43,49509048
A4;18;Target 1;25056,46875;-57,77307892
A4;19;Target 1;25063,28125;-131,6232758
A4;20;Target 1;25085,08203;-190,485199
A4;21;Target 1;25371,9082;15,67827034
A4;22;Target 1;25475,09375;38,20111465
A4;23;Target 1;25383,75391;-133,8014221
A4;24;Target 1;25488,27734;-109,9406891
A4;25;Target 1;25546,74219;-132,1385498
A4;26;Target 1;25769,7832;10,23976421
A4;27;Target 1;25871,26953;31,06339073
A4;28;Target 1;25999,24609;78,37725067
A4;29;Target 1;26013,01758;11,4860363
A4;30;Target 1;26019,3457;-62,84854126
A4;31;Target 1;26061,50586;-101,3510818
A4;32;Target 1;26261,21484;17,69519806
A4;33;Target 1;26418,57422;94,39186859
A4;34;Target 1;26331,40625;-73,438797
A4;35;Target 1;26424,66992;-60,83782578
A4;36;Target 1;26590,74609;24,57564354
A4;37;Target 1;26615,35156;-31,48158836
A4;38;Target 1;26711,25391;-16,24194717
A4;39;Target 1;26750,70508;-57,45347595
A4;40;Target 1;26603,99219;-284,829071
A5;1;Target 1;23984,01367;14,88459778
A5;2;Target 1;24057,47266;23,06160927
A5;3;Target 1;24208,23438;108,5413513
A5;4;Target 1;24192,21484;27,239851
A5;5;Target 1;24355,58984;125,3328781
A5;6;Target 1;24282,65625;-12,88268948
A5;7;Target 1;24305,66992;-55,15098953
A5;8;Target 1;24375,68164;-50,42124557
A5;9;Target 1;24468,58203;-22,80282784
A5;10;Target 1;24556,21875;-0,448081136
A5;11;Target 1;24566,46875;-55,48005295
A5;12;Target 1;24651,35352;-35,87726212
A5;13;Target 1;24734,58203;-17,93071938
A5;14;Target 1;24692,31836;-125,4763641
A5;15;Target 1;24798,70703;-84,36966705
A5;16;Target 1;24856,73828;-91,62038422
A5;17;Target 1;25065,3457;51,70506287
A5;18;Target 1;25149,45508;70,53246307
A5;19;Target 1;25102,52734;-41,67724609
A5;20;Target 1;25215,46484;5,978282452
A5;21;Target 1;25479,57617;204,8076324
A5;22;Target 1;25414,01953;73,96902466
A5;23;Target 1;25461,5;56,16751862
A5;24;Target 1;25521,27539;50,66093826
A5;25;Target 1;25663,01758;127,1211548
A5;26;Target 1;25751,26563;150,0872192
A5;27;Target 1;25776,81641;110,3560333
A5;28;Target 1;26268,9707;537,2283325
A5;29;Target 1;26912,72461;1115,700317
A5;30;Target 1;28074,10547;2211,799072
A5;31;Target 1;30443,97266;4516,384277
A5;32;Target 1;34415,30859;8422,438477
A5;33;Target 1;42276,47656;16218,32422
A5;34;Target 1;56147,05469;30023,62109
A5;35;Target 1;80071,125;53882,41016
A5;36;Target 1;111005,4297;84751,42969
A5;37;Target 1;144582,1875;118262,9063
A5;38;Target 1;176127,7188;149743,1563
A5;39;Target 1;205993,4063;179543,5625
A5;40;Target 1;229777,3906;203262,2656
A6;1;Target 1;28988,76563;-714,6856689
A6;2;Target 1;29316,41797;-404,0689392
A6;3;Target 1;29604,81641;-132,7061615
A6;4;Target 1;29673,0332;-81,52500916
A6;5;Target 1;29829,57227;57,97840881
A6;6;Target 1;29905,51172;116,8822174
A6;7;Target 1;29905,08008;99,41492462
A6;8;Target 1;29875,55078;52,84998322
A6;9;Target 1;29869,39258;29,65613174
A6;10;Target 1;29867,44141;10,66931343
A6;11;Target 1;29835,19141;-38,61633301
A6;12;Target 1;29829,38867;-61,45471573
A6;13;Target 1;29872,49414;-35,38489532
A6;14;Target 1;29865,30273;-59,61194992
A6;15;Target 1;29939,72461;-2,225720882
A6;16;Target 1;29993,30664;34,32066345
A6;17;Target 1;29969,78516;-6,236468792
A6;18;Target 1;30009,04688;15,98960209
A6;19;Target 1;29940,74609;-69,34682465
A6;20;Target 1;30002,09375;-25,03481674
A6;21;Target 1;30095,91797;51,75375366
A6;22;Target 1;30202,60547;141,4056091
A6;23;Target 1;30309,19531;230,9598083
A6;24;Target 1;30515,51758;420,2464294
A6;25;Target 1;30941,04492;828,7380981
A6;26;Target 1;31740,85352;1611,511108
A6;27;Target 1;33166,44531;3020,067139
A6;28;Target 1;35665,57031;5502,156738
A6;29;Target 1;40873,96875;10693,51953
A6;30;Target 1;50982,19141;20784,70703
A6;31;Target 1;68971,25;38756,73047
A6;32;Target 1;96937,5;66705,94531
A6;33;Target 1;132205,7344;101957,1406
A6;34;Target 1;168882,4219;138616,7969
A6;35;Target 1;202953,75;172671,0938
A6;36;Target 1;231292,2813;200992,5781
A6;37;Target 1;254710,5938;224393,8594
A6;38;Target 1;272803,7188;242469,9531
A6;39;Target 1;286988,1875;256637,375
A6;40;Target 1;299638,5625;269270,7188
A7;1;Target 1;26554,49219;-612,5444946
A7;2;Target 1;26874,72656;-316,8343201
A7;3;Target 1;26865,57422;-350,5108643
A7;4;Target 1;26935,10156;-305,5076904
A7;5;Target 1;27325,57422;60,44077301
A7;6;Target 1;27626,50391;336,846283
A7;7;Target 1;27422,62305;108,4412308
A7;8;Target 1;27465,17969;126,4736862
A7;9;Target 1;27320,48438;-42,74581528
A7;10;Target 1;27276,25;-111,5043793
A7;11;Target 1;27599,63867;187,3601074
A7;12;Target 1;27515,64063;78,83787537
A7;13;Target 1;27634,83203;173,5050964
A7;14;Target 1;27555,95703;70,10591125
A7;15;Target 1;27702,10742;191,7321167
A7;16;Target 1;27423,14648;-111,7530136
A7;17;Target 1;27450,42188;-109,0018082
A7;18;Target 1;27450,70313;-133,244751
A7;19;Target 1;27441,56641;-166,9056549
A7;20;Target 1;27824,41406;191,4178162
A7;21;Target 1;27448,35938;-209,1610565
A7;22;Target 1;27697,21875;15,17413521
A7;23;Target 1;27593,42383;-113,1449738
A7;24;Target 1;27636,60742;-94,48556519
A7;25;Target 1;27807,41797;51,80079269
A7;26;Target 1;27813,32813;33,18676376
A7;27;Target 1;28422,57227;617,9067383
A7;28;Target 1;28479,28711;650,0973511
A7;29;Target 1;29016,11328;1162,399414
A7;30;Target 1;30532,02539;2653,787354
A7;31;Target 1;33343,18359;5440,421387
A7;32;Target 1;38971,77734;11044,49121
A7;33;Target 1;48918,48047;20966,66992
A7;34;Target 1;66784,26563;38807,92969
A7;35;Target 1;94128,64844;66127,78906
A7;36;Target 1;131484,5313;103459,1484
A7;37;Target 1;173087,75;145037,8438
A7;38;Target 1;204774,4375;176700
A7;39;Target 1;234305,8281;206206,875
A7;40;Target 1;260174,875;232051,3906
A8;1;Target 1;20355,77734;-71,83068848
A8;2;Target 1;20301,12109;-142,6212616
A8;3;Target 1;20407,07813;-52,7985611
A8;4;Target 1;20406,56055;-69,45046234
A8;5;Target 1;20520,875;28,72966385
A8;6;Target 1;20572,22656;63,94690323
A8;7;Target 1;20573,80469;49,39070129
A8;8;Target 1;20626,9375;86,38919067
A8;9;Target 1;20562,38672;5,704082489
A8;10;Target 1;20567,43164;-5,38532114
A8;11;Target 1;20555,87891;-33,07238007
A8;12;Target 1;20583,13281;-21,95279884
A8;13;Target 1;20584,21484;-37,00509262
A8;14;Target 1;20620,40625;-16,94801331
A8;15;Target 1;20609,20117;-44,28741455
A8;16;Target 1;20674,34766;4,724743366
A8;17;Target 1;20689,71094;3,95369935
A8;18;Target 1;20683,44531;-18,44625092
A8;19;Target 1;20774,5332;56,50731277
A8;20;Target 1;20756,28516;22,12494278
A8;21;Target 1;20899,5625;149,2679596
A8;22;Target 1;20955,92188;189,4930115
A8;23;Target 1;21078,75977;296,1965637
A8;24;Target 1;21266,26172;467,564209
A8;25;Target 1;21481,89453;667,0626831
A8;26;Target 1;21784,70703;953,7408447
A8;27;Target 1;22307,99219;1460,891724
A8;28;Target 1;23297,26172;2434,026855
A8;29;Target 1;25193,19922;4313,830078
A8;30;Target 1;28695,95703;7800,453613
A8;31;Target 1;34778,62891;13866,99121
A8;32;Target 1;45191,35156;24263,58008
