Well;Cycle;Target Name;Rn;DeltaRn
A1;1;Target 1;19660,73438;115,227211
A1;2;Target 1;19604,12891;58,62174606
A1;3;Target 1;19527,08594;-18,42122459
A1;4;Target 1;19510,82617;-34,68098831
A1;5;Target 1;19598,60938;53,10221481
A1;6;Target 1;19470,86328;-74,64388275
A1;7;Target 1;19591,50781;46,00065231
A1;8;Target 1;19676,21484;130,7076874
A1;9;Target 1;19709,82031;164,3131561
A1;10;Target 1;19713,79688;168,2897186
A1;11;Target 1;19829,75781;284,2506409
A1;12;Target 1;19895,30078;349,7936096
A1;13;Target 1;19903,48438;357,9772034
A1;14;Target 1;20074,21094;528,7037964
A1;15;Target 1;20112,31055;566,8034058
A1;16;Target 1;20240,81641;695,3092651
A1;17;Target 1;20249,64453;704,1373901
A1;18;Target 1;20302,22656;756,7194214
A1;19;Target 1;20267,52344;722,0162964
A1;20;Target 1;20376,32813;830,8209839
A1;21;Target 1;20494,37695;948,869812
A1;22;Target 1;20449,16406;903,6569214
A1;23;Target 1;20487,53125;942,0241089
A1;24;Target 1;20585,68359;1040,176392
A1;25;Target 1;20680,57422;1135,067017
A1;26;Target 1;20771,33008;1225,822876
A1;27;Target 1;20783,56836;1238,061157
A1;28;Target 1;20844,66406;1299,15686
A1;29;Target 1;20938,81055;1393,303345
A1;30;Target 1;20931,11719;1385,609985
A1;31;Target 1;20987,88281;1442,37561
A1;32;Target 1;21033,09766;1487,590454
A1;33;Target 1;21066,36523;1520,858032
A1;34;Target 1;21142,32031;1596,81311
A1;35;Target 1;21232,86914;1687,361938
A1;36;Target 1;21203,20508;1657,697876
A1;37;Target 1;21244,31055;1698,803345
A1;38;Target 1;21268,83984;1723,332642
A1;39;Target 1;21414,82031;1869,31311
A1;40;Target 1;21524,93555;1979,428345
A2;1;Target 1;24880,20703;-1157,91687
A2;2;Target 1;25534,84766;-523,4935913
A2;3;Target 1;25801,83594;-276,7226257
A2;4;Target 1;26054,1875;-44,58837128
A2;5;Target 1;26294,52344;175,5302582
A2;6;Target 1;26339,78711;200,5766296
A2;7;Target 1;26273,125;113,6972122
A2;8;Target 1;26202,22852;22,58342361
A2;9;Target 1;26225,875;26,01260376
A2;10;Target 1;26203,34766;-16,73204613
A2;11;Target 1;26145,74219;-94,5548172
A2;12;Target 1;26170,70313;-89,81118774
A2;13;Target 1;26279,07422;-1,657398939
A2;14;Target 1;26260,8125;-40,1364212
A2;15;Target 1;26269,6875;-51,47872925
A2;16;Target 1;26347,41797;6,034435272
A2;17;Target 1;26383,05469;21,45384789
A2;18;Target 1;26431,61133;49,79318237
A2;19;Target 1;26372,33594;-29,69951248
A2;20;Target 1;26406,19141;-16,06134796
A2;21;Target 1;26498,7207;56,25064468
A2;22;Target 1;26832,08984;369,4024658
A2;23;Target 1;27016,61523;533,7105713
A2;24;Target 1;27530,67969;1027,557739
A2;25;Target 1;28271,95898;1748,619751
A2;26;Target 1;29854,85156;3311,294922
A2;27;Target 1;32878,29688;6314,522949
A2;28;Target 1;38815,88672;12231,89551
A2;29;Target 1;50063,70703;23459,49805
A2;30;Target 1;68490,83594;41866,41016
A2;31;Target 1;93857,125;67212,48438
A2;32;Target 1;122012,3438;95347,48438
A2;33;Target 1;151181,9375;124496,8594
A2;34;Target 1;179516,9219;152811,625
A2;35;Target 1;205398,2188;178672,7031
A2;36;Target 1;227004,7656;200259,0313
A2;37;Target 1;246574,8906;219808,9375
A2;38;Target 1;261899,7656;235113,5938
A2;39;Target 1;276086,625;249280,25
A2;40;Target 1;288738,3438;261911,75
A3;1;Target 1;22576,90234;-189,5617218
A3;2;Target 1;22703,67969;-59,96230698
A3;3;Target 1;22757,39648;-3,423437595
A3;4;Target 1;22881,125;123,1271515
A3;5;Target 1;22848,69141;93,51563263
A3;6;Target 1;22834,69336;82,33966064
A3;7;Target 1;22802,44141;52,90977859
A3;8;Target 1;22657,95313;-88,75643158
A3;9;Target 1;22669,40234;-74,48513794
A3;10;Target 1;22708,58008;-32,48532867
A3;11;Target 1;22652,26953;-85,97380066
A3;12;Target 1;22651,54492;-83,87633514
A3;13;Target 1;22688,17578;-44,42340469
A3;14;Target 1;22662,88086;-66,89624786
A3;15;Target 1;22650,21484;-76,74019623
A3;16;Target 1;22664,55859;-59,57437134
A3;17;Target 1;22681,50586;-39,80503082
A3;18;Target 1;22740,28516;21,79634094
A3;19;Target 1;22788,58594;72,91919708
A3;20;Target 1;22758,80859;45,96392441
A3;21;Target 1;22873,89063;163,8680267
A3;22;Target 1;22847,49609;140,295578
A3;23;Target 1;22905,52539;201,1469421
A3;24;Target 1;23066,72656;365,1701965
A3;25;Target 1;23243,41016;544,6758423
A3;26;Target 1;23574,40625;878,4940186
A3;27;Target 1;24048,82031;1355,730103
A3;28;Target 1;24997,48438;2307,216309
A3;29;Target 1;26749,15234;4061,706299
A3;30;Target 1;30098,14648;7413,522461
A3;31;Target 1;36222,3125;13540,51074
A3;32;Target 1;46404,13672;23725,15625
A3;33;Target 1;60901,42188;38225,26563
A3;34;Target 1;77672,96094;54999,625
A3;35;Target 1;95328,60938;72658,09375
A3;36;Target 1;113817,6641;91149,96875
A3;37;Target 1;131824,8906;109160,0234
A3;38;Target 1;149595,7969;126933,75
A3;39;Target 1;166015,4531;143356,2344
A3;40;Target 1;181361,7031;158705,2969
A4;1;Target 1;23620,73047;-344,9100037
A4;2;Target 1;23820,57813;-128,8875427
A4;3;Target 1;23837,14648;-96,14437866
A4;4;Target 1;24057,57031;140,4542542
A4;5;Target 1;23994,52344;93,58218384
A4;6;Target 1;24012,48047;127,7140198
A4;7;Target 1;23965,69531;97,10366821
A4;8;Target 1;23832,63477;-19,78207207
A4;9;Target 1;23625,42578;-210,8162537
A4;10;Target 1;24037,43555;217,3683167
A4;11;Target 1;23707,80859;-96,08383179
A4;12;Target 1;23622,00977;-165,7078552
A4;13;Target 1;23653,51172;-118,0310974
A4;14;Target 1;23710,67773;-44,6902771
A4;15;Target 1;23618,52344;-120,6697693
A4;16;Target 1;23712,94141;-10,07699394
A4;17;Target 1;23566,9082;-139,9353943
A4;18;Target 1;23654,94141;-35,72738647
A4;19;Target 1;23659,42578;-15,06820488
A4;20;Target 1;23805,38281;147,0636292
A4;21;Target 1;23891,5918;249,4474182
A4;22;Target 1;23790,63477;164,6651917
A4;23;Target 1;23889,99023;280,1954651
A4;24;Target 1;24106,8125;513,1925659
A4;25;Target 1;24179,5957;602,1505737
A4;26;Target 1;24269,42969;708,1593628
A4;27;Target 1;24604,22656;1059,130981
A4;28;Target 1;24828,73438;1299,813599
A4;29;Target 1;25529,61328;2016,86731
A4;30;Target 1;26676,75977;3180,188721
A4;31;Target 1;28607,33203;5126,935547
A4;32;Target 1;32589,41016;9125,188477
A4;33;Target 1;39377,78906;15929,74219
A4;34;Target 1;50907,17188;27475,30078
A4;35;Target 1;66911,59375;43495,89844
A4;36;Target 1;87721,29688;64321,77344
A4;37;Target 1;110910,5313;87527,1875
A4;38;Target 1;135033,5469;111666,375
A4;39;Target 1;158997,875;135646,875
A4;40;Target 1;180464,0313;157129,2031
A5;1;Target 1;23318,78906;115,1788788
A5;2;Target 1;23370,89648;139,8617249
A5;3;Target 1;23350,80859;92,34925842
A5;4;Target 1;23320,59375;34,70983505
A5;5;Target 1;23359,79688;46,48838043
A5;6;Target 1;23334,625;-6,108072281
A5;7;Target 1;23384,92383;16,76617813
A5;8;Target 1;23429,21289;33,63066101
A5;9;Target 1;23367,42969;-55,57711792
A5;10;Target 1;23373,92188;-76,50950623
A5;11;Target 1;23354,34766;-123,5083084
A5;12;Target 1;23392,78711;-112,4934311
A5;13;Target 1;23447,95313;-84,75199127
A5;14;Target 1;23562,54297;2,413273096
A5;15;Target 1;23610,22852;22,67424202
A5;16;Target 1;23679,18359;64,20474243
A5;17;Target 1;23667,44531;25,04188347
A5;18;Target 1;23744,31836;74,49034882
A5;19;Target 1;23711,07031;13,81772709
A5;20;Target 1;23757,03906;32,36190033
A5;21;Target 1;23692,26563;-59,83611679
A5;22;Target 1;23765,23438;-14,2919445
A5;23;Target 1;23976,52344;169,5725403
A5;24;Target 1;24112,21875;277,8432617
A5;25;Target 1;24277,27734;415,4772949
A5;26;Target 1;24607,07031;717,8457031
A5;27;Target 1;25426,93945;1510,290283
A5;28;Target 1;26485,31055;2541,236816
A5;29;Target 1;29124,39648;5152,897949
A5;30;Target 1;33531,23438;9532,311523
A5;31;Target 1;41681,625;17655,27734
A5;32;Target 1;54749,82813;30696,05664
A5;33;Target 1;73211,17969;49129,98438
A5;34;Target 1;93232,29688;69123,67188
A5;35;Target 1;115780,5078;91644,46094
A5;36;Target 1;136697,6719;112534,2031
A5;37;Target 1;157609,1563;133418,2656
A5;38;Target 1;176668,9063;152450,5938
A5;39;Target 1;193909,1875;169663,4375
A5;40;Target 1;208906,2031;184633,0313
A6;1;Target 1;28058,08594;-183,502121
A6;2;Target 1;28235,74219;38,89799118
A6;3;Target 1;28295,90039;143,8000488
A6;4;Target 1;28233,03125;125,6747742
A6;5;Target 1;28144,42969;81,81707001
A6;6;Target 1;28061,92188;44,05311203
A6;7;Target 1;27947,10156;-26,02334213
A6;8;Target 1;27807,71875;-120,6622925
A6;9;Target 1;27726,0918;-157,5453949
A6;10;Target 1;27595,16211;-243,7312164
A6;11;Target 1;27661,45703;-132,6924438
A6;12;Target 1;27713,01758;-36,38803482
A6;13;Target 1;27790,72266;86,06089783
A6;14;Target 1;27732,58398;72,66608429
A6;15;Target 1;27586,07031;-29,10372543
A6;16;Target 1;27509,18359;-61,24658585
A6;17;Target 1;27604,31445;78,62812805
A6;18;Target 1;27564,94922;84,00675201
A6;19;Target 1;27526,88477;90,68615723
A6;20;Target 1;27480,5332;89,07845306
A6;21;Target 1;27497,22266;150,5117645
A6;22;Target 1;27754,05273;452,0856934
A6;23;Target 1;28123,72656;866,503418
A6;24;Target 1;28738,82813;1526,348755
A6;25;Target 1;30075,4082;2907,672852
A6;26;Target 1;32506,83594;5383,844238
A6;27;Target 1;37391,28516;10313,03711
A6;28;Target 1;46053,92188;19020,41797
A6;29;Target 1;60304,08203;33315,32031
A6;30;Target 1;80078,875;53134,85938
A6;31;Target 1;104572,8047;77673,53125
A6;32;Target 1;130858,5938;104004,0625
A6;33;Target 1;157255,2656;130445,4844
A6;34;Target 1;180286,7813;153521,7344
A6;35;Target 1;200669,6563;173949,3594
A6;36;Target 1;217748,1094;191072,5625
A6;37;Target 1;232287,5313;205656,7188
A6;38;Target 1;244666,4375;218080,375
A6;39;Target 1;255014,0469;228472,7188
A6;40;Target 1;264708,4688;238211,8906
A7;1;Target 1;28149,24609;-483,3939819
A7;2;Target 1;28231,31641;-373,0126343
A7;3;Target 1;28577,19531;1,177303195
A7;4;Target 1;28948,92188;401,2149048
A7;5;Target 1;28670,72266;151,3267212
A7;6;Target 1;28700,27344;209,1885376
A7;7;Target 1;28415,65625;-47,11761475
A7;8;Target 1;28426,26172;-8,201108932
A7;9;Target 1;28318,99805;-87,15374756
A7;10;Target 1;28281,00195;-96,83879852
A7;11;Target 1;28160,41602;-189,1137085
A7;12;Target 1;28146,16992;-175,0487671
A7;13;Target 1;28053,66406;-239,243576
A7;14;Target 1;28034,90234;-229,6942596
A7;15;Target 1;28157,36523;-78,92034149
A7;16;Target 1;28120,16992;-87,80461121
A7;17;Target 1;28005,26953;-174,3939667
A7;18;Target 1;28113,34766;-38,00480652
A7;19;Target 1;28150,31641;27,27498055
A7;20;Target 1;28203,86523;109,1348419
A7;21;Target 1;28109,04102;42,62166214
A7;22;Target 1;28082,56836;44,46004105
A7;23;Target 1;28474,93359;465,136322
A7;24;Target 1;28230,18359;248,6973419
A7;25;Target 1;28380,78516;427,6099548
A7;26;Target 1;28456,09375;531,2295532
A7;27;Target 1;28688,21289;791,659729
A7;28;Target 1;29152,54492;1284,302856
A7;29;Target 1;30527,64063;2687,709473
A7;30;Target 1;32755,91992;4944,299805
A7;31;Target 1;36465,33594;8682,027344
A7;32;Target 1;43977,60938;16222,61133
A7;33;Target 1;57429,16797;29702,48047
A7;34;Target 1;79406,91406;51708,53906
A7;35;Target 1;104506,5156;76836,45313
A7;36;Target 1;134195,7656;106554,0156
A7;37;Target 1;160649,3594;133035,9219
A7;38;Target 1;188304,1406;160719,0156
A7;39;Target 1;216487,2344;188930,4063
A7;40;Target 1;237231,375;209702,8594
A8;1;Target 1;23203,52148;228,8665009
A8;2;Target 1;23063,26758;58,70680618
A8;3;Target 1;23067,23828;32,77172852
A8;4;Target 1;23131,73047;67,35813141
A8;5;Target 1;23152,0957;57,81758499
A8;6;Target 1;23169,58594;45,40203857
A8;7;Target 1;23077,60938;-76,48030853
A8;8;Target 1;23028,99805;-154,9974213
A8;9;Target 1;23047,46094;-166,4403076
A8;10;Target 1;23214,25781;-29,54921913
A8;11;Target 1;23364,99609;91,28327942
A8;12;Target 1;23418,60547;114,9868698
A8;13;Target 1;23326,00391;-7,520473003
A8;14;Target 1;23363,50195;0,071791291
A8;15;Target 1;23406,875;13,53905582
A8;16;Target 1;23473,84961;50,60788345
A8;17;Target 1;23414,29688;-38,85063553
A8;18;Target 1;23412,28711;-70,76618195
A8;19;Target 1;23459,23047;-53,72860718
A8;20;Target 1;23560,43359;17,56873512
A8;21;Target 1;23696,50781;123,737175
A8;22;Target 1;23789,61523;186,9388123
A8;23;Target 1;23949,92578;317,3435669
A8;24;Target 1;24068,40039;405,9124146
A8;25;Target 1;24372,10547;679,7116699
A8;26;Target 1;24933,94141;1211,641846
A8;27;Target 1;25653,41016;1901,204834
A8;28;Target 1;26979,01172;3196,900635
A8;29;Target 1;29560,95117;5748,934082
A8;30;Target 1;34351,33203;10509,40918
A8;31;Target 1;42662,42578;18790,59766
A8;32;Target 1;55088,93359;31187,19922
A8;33;Target 1;70154,03906;46222,39844
A8;34;Target 1;87281,875;63320,32813
A8;35;Target 1;106099,5625;82108,10938
A8;36;Target 1;126103,1406;102081,7813
A8;37;Target 1;145805,9219;121754,6563
A8;38;Target 1;164874,8906;140793,7188
A8;39;Target 1;183314,0938;159203,0156
A8;40;Target 1;199485,8125;175344,8281
A9;1;Target 1;24460,93555;-387,5582275
A9;2;Target 1;24722,88867;-132,8117065
A9;3;Target 1;24856,73828;-6,168696404
A9;4;Target 1;25112,78711;242,6735382
A9;5;Target 1;24876,35938;-0,960793912
A9;6;Target 1;24881,2207;-3,306061506
A9;7;Target 1;24840,27734;-51,45601654
A9;8;Target 1;24743,6875;-155,2524567
A9;9;Target 1;24936,81055;30,66399574
A9;10;Target 1;24835,52148;-77,83166504
A9;11;Target 1;24873,35938;-47,20036697
A9;12;Target 1;24981,58398;53,81764603
A9;13;Target 1;24895,86719;-39,10574722
A9;14;Target 1;24865,17578;-77,00374603
A9;15;Target 1;24899,92578;-49,46034241
A9;16;Target 1;24960,32813;3,735404253
A9;17;Target 1;24944,53516;-19,26416016
A9;18;Target 1;25050,82227;79,81635284
A9;19;Target 1;25094,51563;116,3031158
A9;20;Target 1;25075,63672;90,21761322
A9;21;Target 1;25120,82813;128,2024231
A9;22;Target 1;25359,94141;360,1091003
A9;23;Target 1;25421,83789;414,7990112
A9;24;Target 1;25637,25391;623,0084229
A9;25;Target 1;25786,72266;765,2705688
A9;26;Target 1;26163,86719;1135,208496
A9;27;Target 1;26952,58594;1916,720703
A9;28;Target 1;28667,85742;3624,785645
A9;29;Target 1;31486,26367;6435,985352
A9;30;Target 1;37063,50781;12006,02246
A9;31;Target 1;47587,73438;22523,04297
A9;32;Target 1;66897,5625;41825,66406
A9;33;Target 1;96613,57031;71534,46875
A9;34;Target 1;132121,9844;107035,6719
A9;35;Target 1;168431,4531;143337,9375
A9;36;Target 1;198680,1563;173579,4375
A9;37;Target 1;224309,1406;199201,2031
A9;38;Target 1;246772,2188;221657,0781
A9;39;Target 1;266461,9375;241339,5938
A9;40;Target 1;281672,6563;256543,1094
A10;1;Target 1;34384,28516;-635,0262451
A10;2;Target 1;34512,14453;-525,9546509
A10;3;Target 1;34934,42188;-122,4650497
A10;4;Target 1;35222,03125;146,3565674
A10;5;Target 1;35229,67969;135,2172546
A10;6;Target 1;35426,15625;312,9060669
A10;7;Target 1;35332,34766;200,3096924
A10;8;Target 1;35163,5625;12,73678493
A10;9;Target 1;34949,71484;-219,8986359
A10;10;Target 1;34912,37891;-276,0223389
A10;11;Target 1;35029,39063;-177,7983704
A10;12;Target 1;35164,99609;-60,98065567
A10;13;Target 1;35165,48438;-79,28013611
A10;14;Target 1;35198,20313;-65,34914398
A10;15;Target 1;35277,61719;-4,722838879
A10;16;Target 1;35364,08984;62,96205902
A10;17;Target 1;35356,4375;36,5219574
A10;18;Target 1;35240,65625;-98,04705048
A10;19;Target 1;35177,36328;-180,1277771
A10;20;Target 1;35249,90625;-126,3725662
A10;21;Target 1;35470,25781;75,19123077
A10;22;Target 1;35602,64063;188,7862854
A10;23;Target 1;35672,71875;240,0766602
A10;24;Target 1;35651,69531;200,2654572
A10;25;Target 1;35709,12891;238,9112854
A10;26;Target 1;35826,05469;337,0493164
A10;27;Target 1;35986,15625;478,3631287
A10;28;Target 1;36019,86328;493,2823792
A10;29;Target 1;36528,44922;983,0805664
A10;30;Target 1;37414,69531;1850,53894
A10;31;Target 1;39193,5625;3610,618408
A10;32;Target 1;42615,23438;7013,502441
A10;33;Target 1;49150,85938;13530,33984
A10;34;Target 1;61542,45313;25903,14648
A10;35;Target 1;84084,375;48426,28125
A10;36;Target 1;117989,0391;82312,15625
A10;37;Target 1;158805,9063;123110,2344
A10;38;Target 1;197748,9844;162034,5313
A10;39;Target 1;231390,75;195657,5
A10;40;Target 1;261334,2344;225582,2031
A11;1;Target 1;28113,61328;-355,940094
A11;2;Target 1;28260,18359;-189,7519989
A11;3;Target 1;28320,67578;-109,6420288
A11;4;Target 1;28629,92578;219,2257538
A11;5;Target 1;28611,70703;220,6247864
A11;6;Target 1;28706,43164;334,9671631
A11;7;Target 1;28423,32617;71,47948456
A11;8;Target 1;28348,65625;16,42734146
A11;9;Target 1;28240,87109;-71,74003601
A11;10;Target 1;28250,16406;-42,82928848
A11;11;Target 1;28065,49219;-207,8833771
A11;12;Target 1;28061,21094;-192,5468597
A11;13;Target 1;28123,62305;-110,5169678
A11;14;Target 1;28126,56836;-87,95387268
A11;15;Target 1;28038,97656;-155,927887
A11;16;Target 1;28063,78516;-111,5015182
A11;17;Target 1;28013,90234;-141,7665558
A11;18;Target 1;28139,16797;3,116853952
A11;19;Target 1;28151,41016;34,9768219
A11;20;Target 1;28087,39063;-9,424930573
A11;21;Target 1;28006,90625;-70,29152679
A11;22;Target 1;27974,95703;-82,62296295
A11;23;Target 1;27931,17969;-106,7825317
A11;24;Target 1;28010,79688;-7,547563076
A11;25;Target 1;28132,16211;133,4354553
A11;26;Target 1;28154,14453;175,0356445
A11;27;Target 1;28259,17969;299,6885986
A11;28;Target 1;28234,70117;294,8278503
A11;29;Target 1;28304,00195;383,7463989
A11;30;Target 1;28371,26172;470,6239624
A11;31;Target 1;28501,93945;620,9194946
A11;32;Target 1;28770,59766;909,1954346
A11;33;Target 1;29035,23438;1193,449951
A11;34;Target 1;29875,77148;2053,604736
A11;35;Target 1;31410,63672;3608,087891
A11;36;Target 1;33999,02344;6216,092285
A11;37;Target 1;38476,25391;10712,94043
A11;38;Target 1;46608,08594;18864,39063
A11;39;Target 1;60577,35938;32853,28125
A11;40;Target 1;81214,6875;53510,22656
A12;1;Target 1;29484,8418;-1283,178833
A12;2;Target 1;29460,23242;-1256,112305
A12;3;Target 1;29695,92188;-968,7468872
A12;4;Target 1;30150,48633;-462,5064392
A12;5;Target 1;30301,625;-259,6918335
A12;6;Target 1;30689,80469;180,1638184
A12;7;Target 1;30787,99609;330,031189
A12;8;Target 1;30990,50195;584,2130127
A12;9;Target 1;30939,21094;584,5979614
A12;10;Target 1;30728,26563;425,3285828
A12;11;Target 1;30630,58203;379,3209534
A12;12;Target 1;30425,70508;226,1199493
A12;13;Target 1;30238,37695;90,46777344
A12;14;Target 1;30060,77734;-35,45587921
A12;15;Target 1;29901,23633;-143,3209381
A12;16;Target 1;29818,15625;-174,7250671
A12;17;Target 1;29762,79492;-178,4104309
A12;18;Target 1;29742,9043;-146,6251068
A12;19;Target 1;29699,48828;-138,3651581
A12;20;Target 1;29614,51563;-171,6618652
A12;21;Target 1;29614,82422;-119,6773148
A12;22;Target 1;29588,33203;-94,49354553
A12;23;Target 1;29692,25781;61,10818863
A12;24;Target 1;29611,80273;32,32906723
A12;25;Target 1;29597,73828;69,94056702
A12;26;Target 1;29679,66797;203,5462189
A12;27;Target 1;29852,66211;428,2163086
A12;28;Target 1;30286,72852;913,9586792
A12;29;Target 1;30993,33008;1672,236206
A12;30;Target 1;32301,82227;3032,404297
A12;31;Target 1;35054,85938;5837,117188
A12;32;Target 1;40265,71875;11099,65234
A12;33;Target 1;49883,47266;20769,08203
A12;34;Target 1;65859,5;36796,78516
